John Riedl,1986422195
Georgios Giannakis,60615692
Joseph Konstan,2002483998
George Karypis,219814910_https://scholar.google.com/citations?hl=en&user=ElqwScwAAAAJ
Vipin Kumar,2161062602
Keshab Parhi,741769158
Gediminas Adomavicius,1988164005
Tian He,2151189342_https://scholar.google.com/citations?hl=en&user=hc1m_BQAAAAJ
Zhi-Li Zhang,2164420873
Jaideep Srivastava,2192802387
Sachin Sapatnekar,2157196917
Mohamed Mokbel,696807755_https://scholar.google.com/citations?hl=en&user=GHz1ZVIAAAAJ
Loren Terveen,2308719832
Arindam Banerjee,2037585042_https://scholar.google.com/citations?hl=en&user=RY7cuPAAAAAJ
Gordon Davis,2108307508
Shashi Shekhar,2134885186_https://scholar.google.com/citations?hl=en&user=p26NfLgAAAAJ
Chris Kim,2160070522
Badrul Sarwar,2124832546
David Lilja,202344961
Ted Pedersen,2120321692_https://scholar.google.com/citations?hl=en&user=GwJdLSAAAAAJ
David Du,2218439765
Michael Steinbach,2102135651
F. Harper,2132384259
Robert Cooley,2117479945
Nikolaos Papanikolopoulos,2182709555_https://scholar.google.com/citations?hl=en&user=wQdo-bMAAAAJ
Ramesh Harjani,2055572110
Maria Gini,2236789276_https://scholar.google.com/citations?hl=en&user=2ewb-10AAAAJ
Stergios Roumeliotis,1119718656_https://scholar.google.com/citations?hl=en&user=c5HeXxsAAAAJ
Mukund Deshpande,2380731463
Al Borchers,1964896856
Essa Yacoub,1976264487
Mingyi Hong,2138192401
Dan Frankowski,1982808834
Marc Riedel,2102878586
Nicholas Hopper,2106238981_https://scholar.google.com/citations?hl=en&user=4e2pnKYAAAAJ
Kia Bazargan,2131458256
Shyong Lam,2167338593
F.F. Digham,692105181
Richard Tweedie,2120180433
Peter Bergstrom,2710862796
Neophytos Iacovou,349420651
Mats Heimdahl,2001238367_https://scholar.google.com/citations?hl=en&user=a1VRT-wAAAAJ
Abhishek Chandra,2161546059_https://scholar.google.com/citations?hl=en&user=hSklLfsAAAAJ
Pen-Chung Yew,2156592825
Kamil Ugurbil,1996768038
Mitchell Swanson,2353206994
Tianyi Chen,2155093299
Eui-Hong Han,2150989112
Gerald Sobelman,1986740391
Mostafa Kaveh,2066026369_https://scholar.google.com/citations?hl=en&user=sCGHE8gAAAAJ
Michael Whalen,1950713449
Rajesh Rajamani,2146539867
Jarvis Haupt,2159479440
Vladimir Cherkassky,2046291680
Jon Weissman,265798840
James Lee,2602587867
Ahmed Tewfik,2599167592
Volkan Isler,2092227063
Vijay Adhikari,1959489330
