Feng Wang,2620719578_https://scholar.google.com/citations?hl=en&user=JBCFTjoAAAAJ
Yixin Chen,2660642437_https://scholar.google.com/citations?hl=en&user=FL4hyLcAAAAJ
Dawn Wilkins,1867518730_https://scholar.google.com/citations?hl=en&user=vNspG44AAAAJ
Lei Cao,2720257602
Mustafa Matalgah,191617594
Byunghyun Jang,2098511177
Bahram Alidaee,114413763
Naeemul Hassan,2222345529
Milam Aiken,2123176854
Xiaofei Nan,2110243572
Xin Dang,1839483119
Chad Vicknair,2229729399
Zhendong Zhao,2598793964
James Sabatier,1867362872
Michael Macias,2227372654
César Rego,2124703246
Pamela Lawhead,2237698678
Robert Dorsey,1972631664
Norman Womer,128510265
Sang Kim,2256491002
Kerry Holmes,2161885120
John Johnson,2147055084
Yazid Khattabi,106071944
John Daigle,280482923
S.V. Rice,2973959963
J.C. Church,2974916427
Kathy Wachter,2165953651
J. Jones,2419984141
Philip Rhodes,2109584757_https://scholar.google.com/citations?hl=en&user=XQMcWkoAAAAJ
Brian Reithel,2250174017
Sumali Conlon,2705787979
H. Cunningham,2155080605
Esam Obiedat,32067830
Judy Greenwood,2580984113
Main Rony,2603084390
Ramanarayanan Viswanathan,1999738749
M.J. Inman,2029319513
Melissa Dennis,2101415515
Alexander Yakovlev,2160706473
Nicolaas Prins,2136801711
Amrit Kharel,2163721729
Hadi Kasasbeh,2342467294
Gail Herrera,2180727604
Debra Riley-Huff,2028721027
Tamar Goulet,2092627529
Alex Watson,2725610882
Mei Alonzo,2182416982
Gang Fu,2306090952
Robert Doerksen,60916514
Guangbin Fan,2665219386
Haining Liu,2306746091
Pankaj Daga,2309626645
Elizabeth Choinski,2180888373
Ahmed Khidre,2076305048
Tisha Brown,2477451382
R. Cheaib,2052845959
M. Altinakar,2973458464
Honghai Qi,2973998180
Gabriel Moreno,2253508882
Julia Rholes,23702777
Kai Lee,2147501918
Darko Kajfez,298890361
Zhonghui Wang,2623199436
Joanne Gabrynowicz,2775897750
K. Stevens,2153222667
A.Z. Elseherbeni,2228591767
Yafei Jia,2274117749
Anthony Nocentino,2229443150
Yi Liu,2101880749
Yaoxin Zhang,2125175279
Sakil Chowdhury,2563261458
Yuanyuan Ding,2627474540
Tong Shan,2677840481
Ikhlas Khan,2111278618
Marco Cavaglia,2428212893
