Jiebo Luo,2059910451_https://scholar.google.com/citations?hl=en&user=CcbnBvgAAAAJ
Wendi Heinzelman,2205751461
Eby Friedman,2119841683
Michael Scott,2122926523_https://scholar.google.com/citations?hl=en&user=PzaBy-UAAAAJ
Sandhya Dwarkadas,19214967
James Allen,2235393145
Gaurav Sharma,2098073579
Henry Kautz,1966271946_https://scholar.google.com/citations?hl=en&user=WxQyOYQAAAAJ
Ji Liu,2301968909
Kai Shen,2166079265_https://scholar.google.com/citations?hl=en&user=WT2SHy0AAAAJ
Chen Ding,2110051044
Daniel Gildea,2004366870_https://scholar.google.com/citations?hl=en&user=AAJjmoIAAAAJ
Philip Guo,2285416364
Christopher Brown,2125601894
William Scherer,2103901970
Mehmet Celik,2242057032
Engin Ipek,2094412634
Samuel White,2403795976
Michael Huang,2159223030
Vijayan Sugumaran,2251311236
Yuncheng Li,2168998945
Hanjie Ji,2103437488
Gonzalo Mateos,2005448556
Roger Dev,2489187665
Lane Hemaspaandra,285907231
Yapeng Tian,2429400013
Huirong Fu,1971435853
Chenliang Xu,2161735154
Richard Aslin,2009730290
Zhiyao Duan,2125839722
Xiangru Lian,2266608663_https://scholar.google.com/citations?hl=en&user=N3oIXg0AAAAJ
Derek Gross,2100804423
M. Perillo,2094470553
George Ferguson,2128752096
Wei Li,2968880399
Virendra Marathe,2919109779
Randal Nelson,2109915147
Naushad UzZaman,168601307
Lenhart Schubert,1236271126
Cristiano Tapparello,37939853
Mark Bocko,294267909
Luke Dalessandro,2139756128
Greg Semeraro,2020889213
Eric Rustici,1008294191
Mary Swift,2101086093
Moeen Hassanalieragh,212282146
Michael Tanenhaus,2087072028
Alex Page,2102862908
Dae-Kyoo Kim,2142115809
Walter Scott,2777722226
T. Jaeger,2127437209
Kurt Dobbins,2142226880
Abraham Seidmann,2298132705
Nasrin Mostafazadeh,843634539
Colin Funai,1978408664
Ishwar Sethi,2679791982
Zhao Cheng,2141561743
Linfeng Song,2494102532
He Ba,2145522577
Carla Beckham,2300960967
Muthuramakrishnan Venkitasubramaniam,342574673_https://scholar.google.com/citations?hl=en&user=VYBH2BsAAAAJ
Tianran Hu,2100714073
Alexander Loui,1998102249
Jianbo Yuan,2128154613
Mohammed Hoque,2290890507
Eddie Cheng,1973744742
Zeljko Ignjatovic,1955253494
Haofu Liao,2227490359
Alireza Seyedi,1983693710
Lei Chen,2692786946
Yu Wang,2626692062
Xiaotong Lin,2305183337
Hui Wu,2974331325
Kevin Parker,2123240433
H.S. Carvalho,2095924877
Ross Messing,2157670849_https://scholar.google.com/citations?hl=en&user=mlGn6BYAAAAJ
Jason Jeffords,1916600631
M. Bae,2708727177
Douglas Turner,2123673692
Yijun Huang,2219971387
Chengliang Zhang,2172092089
Robert Jacobs,2237875745
Christopher Miller,2153346714
Changyong Feng,2147713960
Kieran Mathieson,2062411791
Andrew Patti,2134633732
David Mathews,2123427465
Thomas Howard,2150873528
Stan Park,2134672806
Chris Oliver,2127359899
Yutao Zhong,2102673393
Dale Emery,2252476291
Dwayne Wiggin,2258543745
Joseph Izraelevitz,2225246029
Eric Gray,2199718032
Mohamed Zohdy,2085242360
Aaron White,2884597995
Nilesh Patel,2175499027
Thomas LeBlanc,2101580273
Selcuk Kose,2148518076
T. Liebsch,2812510543
Yuhao Zhu,2236082114
David Tilson,2018158880
Tom Parker,2136275934
Hongyue Wang,2156926130
Samual White,2232493242
Robin Miller,2485489804
Phil Andlauer,2027085930
Andy Grimes,2122044881
Bruce Nutbrown,320341509
Dan Hullette,93656976
Yang Feng,2296056841
Richard Niemi,597660866
Barry Spinney,2241261783
Naiji Lu,2143313353
Joseph Manico,1774496640
Iftekhar Naim,2171035727
Hesiri Weerasinghe,2085330781
Young Song,2121206090
Daniel Stefankovic,2034428280
Marc Schieber,1619004546
