Sandip Sen,2106651746_https://scholar.google.com/citations?hl=en&user=UCTa4eAAAAAJ
Rose Gamble,2169891659
John Hale,2125263617
Jinsong Zhang,2632650477
Tyler Moore,2142731539
Mauricio Papa,2241074198
Roger Wainwright,1968869684
Albert Reynolds,2117839882
Heng-Ming Tai,2134961206
Sujeet Shenoi,1821912326
Peter LoPresti,1990293871
Brett McKinney,2154761004_https://scholar.google.com/citations?hl=en&user=3M1gxVsAAAAJ
Peter Hawrylak,2303156646
Kaveh Ashenayi,1422588984
Gavin Manes,1992530729
Tong Wu,2307206932
Timothy Urban,2166067889
Thomas Haynes,2129503100
Neelima Sajja,211405610
Mahendra Sekaran,2163099455
Jeff Crawford,2236319322
Tim Kilpatrick,1683264753
Rodrigo Chandia,2020298289
Lori Leonard,1689148352
Jeremy Daily,2131679342
Sarra Alqahtani,2106467373
K.H. Sedighi,1995124404
Janica Edmonds,2143027732
Wen-Chyuan Chiang,2721920674
Roger Mailler,590902176_https://scholar.google.com/citations?hl=en&user=No-tOxoAAAAJ
J. Dawkins,2974386865
N.C. Romano,2974550615
L. Davis,2116032962
Charles Walter,2131364524
A. El-Semary,2409637471
Neeraj Arora,2017903965
J. Gonzalez-Pino,3040453738
Robert Russell,2307608699
JT Hamrick,2618621301
Anil Gürsel,2067062605
Anish Biswas,2165409670
Bryan Dawkins,2898647405
Joshua Schultz,2139135856
Sharmin Jahan,2763893478
Xinchi He,2601640213
Manisha Mundhe,2038401969
Ian Riley,2563353202
Sandeep Kuttal,353577947
Allen Marshall,2231809219
Akhilesh Bajaj,2141556988
Robert Baird,2098001778
Dale Schoenefeld,2222774820
Rui Xie,2226791886
Jeyasingam Nivethan,1258859726
Partha Dutta,2311730722
Chad Crawford,2284865602
A.L. Corcoran,2974471760
Noah Jorgenson,2072220665
Nakeisha Schimke,2058101378
Bill White,3037000131
Rajani Nadella,1904453297
Siamack Shirazi,1981597167
Qingying Chen,2604158081
Jessica Lin,2353011892
Rami Younis,2288453459
Saeid Parvandeh,2883232953
M.T. Gamble,2142571222
Joseph Wolfe,2627514946
Karina Hernandez,2114936602
Hussein Al-Helal,2037051173
Jesus Gonzalez,2289043908
Arthur Corcoran,2154251454
R. Larson,2565834609
K. Daley,2687200020
Thomas Shaw,2337637174
Kyle Cook,2395377181
M. Hepner,3037858371
Rajatish Mukherjee,2252138101
William Macke,2621268101
Sandip Debnath,2151038977
Loyd Hook,2489044748
T. Geisler,2692783663
Charles Waler,2224836825
Anton Ridgway,2167575525
Giovanni Miraglia,2767904282
Oly Mistry,69628767
Mary Kuehler,1513644636
B. Blackburn,2582813008
B. Skaggs,2583575238
T. Kosloff,2060699058
J. Keller,2424909497
Teddy Candale,1964434192
Sumit Ghosh,2167728075
Jing Chen,2426106942
Salvatore Aurigemma,2033200739
Bradley Brummel,2131454785
George Louthan,1517664465
Phoebe Hardwicke,2229739965
W. Simmons,2508109387
Jonathan Savitz,2158999143
Cem Sarica,2481798844
David Greer,2097766063
Daniel Guernsey,2095438751
D.A. Ajenblit,2545786147
M. Kelkar,2288999615
Jiamin Jiang,2155391993
William Nichols,2304678708
A. Harkness,2898794979
M. Arabnejad,2898916927
Leslie Knight,2155039535
Shounak Roychowdhury,2311947846
Huimin Zheng,2185975878
Osman Yucel,2469907533
Teresa Shaft,2441030863
Philip Gamble,2488227575
Cody Pollet,2569100343
Samuel Taylor,2808307572
Nathan Singleton,2164380321
Mohan Kelkar,2145114242
Nicholas Guerra,2966489654
Eduardo Pereyra,1985768580
Brenton McLaury,2036296321
Caleb Fuller,2789647533
Feyza Hafizoglu,230908551
C. Roberts,2493373428
Carsten Mueller,2147641176
Michael Ripley,2282044305
Dale Schinstock,2756081554
James Brill,2246856373
Ethan Robards,2603136318
Zenefa Rahaman,2222085187
Nicholas Davis,2161008736
Melanie Smith,2265339145
Jr Romano,2950667535
R. Keshav,2114329855
K. Clark,2708518170
Marc Timmerman,2555325812
Soham Sheth,2144876757
Gerður Jónsdóttir,2322122445
Steven Kohrmann,2228174861
Y. Alkhalifah,2337682598
Chad Settle,2230256875
Mark Davis,2108840021
Matthew Butler,2180108286
Jody Threet,2097947721
Daniel Flagg,2081147601
Jason Staggs,2602471018
J.F. Nunamaker,2798748067
C. Bauer,2973694089
Garrett Fleck,2275538592
Cory Hoelting,2316039488
Michael Martell,2563413755
Sreerupa Chatterjee,2222235866
Dale Teeters,2137771207
Nick Malone,2718099690
Faris Abuali,1990710932
Nathan Hutchins,2226866127
Donald Marks,2672150262
Ashley Miller,2242713454
Victor Zhou,2498537099
X. Chen,2630172894
M. Volk,2640565035
T. Butler,2709118560
John Letcher,2202262584
J. Valbuena,2617128748
Alex Andrekanic,2232455962
Xia Yan,2270376770
Ismail Fahmi,2573624678
Brooke Shepherd,2942049458
Stephen Rockwell,2097949854
D. Underwood,2039059803
Edmund Rybicki,2153237638
John Shadley,2708118709
J. Wang,2938266329
L. Zhang,2640691254
Randy Hazlett,2027929095
Whitney Caruthers,2401237850
Bailey Smith,2404347956
Dalton Stewart,2407817282
Rolf Olsen,2556025297
Ovadia Shoham,1338058174
I. Mantilla,2091964504
Ferhat Erdal,2316670481
Zachary Grimmett,2752714075
K. Maleki,2561765149
Thomas Cook,2499611019
Kelly Crawford,2096749407
Ronald Vieira,2169192756
Hong-Quan Zhang,2109000416
Guotong Ren,2496843243
M. Gamble,2096089972
Jon Hoffman,2604709119
Sam Beckmann,2620732144
Jonathon Bolin,2620876059
Wray Bradley,2184269711
C.A. Pico,2226688215
Peter Gehres,2229693212
Liming Zhu,2335932111
Dominic Schulte,2161527742
Seth Guenther,2317369113
Jason Wood,2507829422
Narendra Puppala,2342479338
Dale Schoenfeld,2230793471
Clarissa Cook,2479958457
Donald Bowen,2105076065
Hernt-Tai Hu,2227413575
Christopher Swenson,2073799133
Wei Yi,2137239987
Joe Blanton,2153716496
Pooja Mutalik,2642565283
S. Betancourt,2695094440
Ning Liu,2790132814
D.S. Oliver,2794172872
Shay Taylor,2765382212
Michael Kvasnicka,2766862989
Erin Ferguson,2685941602
Hani Girgis,2107159577
Alfredo Velasco,2751758733
Benjamin James,2766651638
Vincent Wells,2896242340
F.E. Jansen,2317570923
K. Huang,2101061604
Zhe Liu,2927201352
David Cole,2602045428
Partha Sarathi,2225711728
Gerdur Jonsdottir,2226576818
Jill Hough,2631785102
Anupama Narayan,2119038082
Kimberly Wilson,2497065975
Pavel Gershteyn,1257816676
Ethan Singleton,2227490943
Kevin Clark,2309523012
Jaime Garces-Perez,2287503008
Shannon Suddath,2594719430
S. Kimsen,1005523074
W-C Chiang,2719298112
Saeid Samadidana,2743304815
Feyza Hafizoǧlu,2412031141
J. Sluss,2438894573
H. Refai,2862008136
C. Karatas,2230003039
Akash Ghosh,2441484206
Nathaniel Beckemeyer,2768725846
Cheng Zhou,2898244729
Hong Yuan,2971782933
Haiwen Zhu,2782859589
Jianjun Zhu,2783191939
Pablo Galiasso,2973436235
Y. Zhao,2425047211
G. Li,2937610316
Chris Hartney,2491647910
Wu-Yuan Tsai,2226734099
K. Ashenayi,2683534496
P. Stiger,1216821332
Heather Christensen,2645686485
S. Giacomo,2577442971
G. Ramamurthy,2473081322
David Buchheim,2232281015
Joshua Rodriguez,2657980159
John Hal,2495368847
Rachna Kumar,2886117269
Gerald Kane,1965555006
Emmanuel Delle-Case,1710282597
Liang Kong,2103157207
Peggy Hill,2168969436
Zachary Hill,2606896275
Ming Li,2964719973
Jingyi Chen,2798400522
Zach Harbort,2230890856
Scott Piper,2396750254
Brandon Enochs,2551153373
Susnata Basak,2575481134
Yu-Che Chen,2988223064
Nathanael Rake,2509141991
Dipayan Das,2510338529
Zimo Chai,2888977371
Hannah Robbins,2889349292
Muwei Zheng,2889398827
Prakash Thapa,2889461445
Frank Grove,2134742783
Charles Adams,2639061383
Kuheli Chakraborty,2384656244
William Stewart,2722049568
J. Shim,2763070518
Beth Downing,2496168834
Y.-C. Chen,2973586495
Kristina Pyles,1963691305
Amanda Strickler,2149299943
Rachel Perry,2168865958
Richard Kennedy,2503628461
Houston Hardman,2559399621
Yula Tang,2147225136
Zelimir Schmidt,2460262574
R.N. Blais,2534185727
Zulin Zhou,2928527591
Steven Reed,2318665618
Christian Constanda,2086419659
D.A. Schoenefeld,2974790154
Mason Rice,2103108946
Gavin Bauer,2143372615
Jonathan Hamm,2494427605
J. Hosey,2633382331
Ranadeep Mukherjee,2101282778
Robert Grimes,2627611937
Ralph Jackson,2112542925
Howard Demuth,2230002550
Dominic Jones,2973395718
Y. Hu,2714369434
R. Hurst,2922831941
G. Miller,2923031275
R. Bonner,2923148566
G. O'Dowd,2923674631
Kevin O’Neil,2048318826
Jiaqing Seng,2297439150
Ram Mohan,2152108480
John Porter,2173685763
Stefan Miska,1461997869
Evren Ozbayoglu,2228584142
Kriti Singh,2977627858
Shuddha Chowdhury,2920970340_https://scholar.google.com/citations?hl=en&user=k715kNoAAAAJ
Surath Rath,2400796558
Fengjun Zhang,2307695809
Robert Wainwright,2673308127
Sara Mohammadi,2978053047
Charles Baukal,2982989293
J. Justice,2683678694
M.L. Smith,2985448056
Meng Meng,2896280502
Shelly Seier,2177310007
Conor Fellin,2323445897
Bradford Johnson,2294675425
John Henshaw,2477473854
Benjamin Peters,2216410629
Travis Tull,2408889884
Charles Prince,2499264132
Rujit Raval,2805376050
Abraham Habib,3008535272
Ryan Irvin,3008634871
Fahim Forouzanfar,1799357551
Bohan Xu,2407088656_https://scholar.google.com/citations?hl=en&user=keW6rkkAAAAJ
Wail Refai,2019215943
D. Baughman,2696999121
P. Galiasso,2253709901
O. Bremer,2027833391
Rahman Mustafayev,2670961575
Yi Shi,2923747497
Weiqi Fu,2924233027
Qingqi Zhao,2924975475
Arjita Ghosh,2117738327
Jonathan West,2977483620
Jolie Olsen,2429460489
Christopher Freeman,2528295788
G. Richard,2318604656
Wade Bick,3035330980
Jacob Graves,2167042832
Jason Knight,2488727134
Se Kim,2554975762
Carlos Martos,2703858182
M.O. Durham,2670309206
Alexander Ruff,2281110000
Aykut Atadeger,2974090562
Mauricio Prado,2103028600
Richard Márquez,2169962894
James Johnson,2182004537
BaiLian Chen,2911155323
Gove Allen,2798639974
Alison Kerr,2685866028
Kevin Gerstner,2973294401
Alexandra Bejarano,2974478765
D. Gardner,2560922009
Ryan Hostetler,2926926835
Sal Aurigemma,2117368129
S. Finnerty,2641588344
S. Sen,2974718480
Xiaobo Liu,2327576687
Zhencong Zhao,2334201820
Haiqiang Lan,3037034623
Larry Johnson,2432122389
A. Pai,2555629501
Robert Kellner,2556703074
Chi Ikoku,1999823076
Sen Sandip,3002220273
Miska Stefan,2269473656
Yu Mengjiao,2737308451
M. Puhl,2515573475
W. Coberly,94473642
Kyle Johnson,2231650974
J. Diaz,2573218637
J. Hale,2631405712
S.A. Strate,2226229163
D.R. Mallampati,2223677570
M. Komara,2635690659
Lifu Chu,2662999460
Scott Bailey,2495283938
C.-H. Chen,2435788294
Matthew Brundage,2495798323
Gaoming Li,2111795304
Mei Han,2293678352
Treglia Michael,2289872527
Enders Robinson,2122632803
Firoozeh Rahimian,2049737819
Mary Cooper,2718348445
Scott Fujan,2277024219
Trevor Sarratt,68405687
Meredith Bates,2136118492
C. Jing,2939371543
Kasap Ekrem,2512714991
Lee Jaedong,704482016
Jeffrey Wolfe,2104050422
Brady Deetz,2229488108
Matthew Walker,2499317390
M. Berryman,2176777043
C. Rummel,2548117395
E.P. Hammon,2347196527
M. Hagan,2462034702
Alex Barclay,2114950672
Roseanne Gamble,2288068322
Shirley Robards,2475742737
Meshack Ilobi,1232333491
Duryodhan Epili,265458243
Eduardo Faingold,2580819057
Samuel Uselton,317079896
Yafes Abacioglu,2143931841
Gordon Thomas,2492733868
J. Díaz,2654280036
Jonathan Butts,2711662804
Sujeet Shanoi,2914333973
Daniel Marder,2022134792
Janice Weinland,2489161984
Ritu Singh,2289238809
Surendra Singh,2998399322
M. Prado,2682855038
Steve Strate,2974472383
Timothy Singleton,2681027445
Mahdi Khodayar,https://scholar.google.com/citations?hl=en&user=GIn1dpUAAAAJ
Michael Haney,https://scholar.google.com/citations?hl=en&user=yFPTY8wAAAAJ
