Josh Bongard,690249449_https://scholar.google.com/citations?hl=en&user=Dj-kPasAAAAJ
Paul Hines,2006096629_https://scholar.google.com/citations?hl=en&user=6Bnk26wAAAAJ
Christopher Danforth,2159352713
Daniel Weiss,2123946502
Peter Dodds,2101432548
Jeff Frolik,1967105296
Christian Skalka,734683473
Donald Weaver,2148540671
James Bagrow,2070057884
Byung Lee,2117647038_https://scholar.google.com/citations?hl=en&user=7-Ze9I4AAAAJ
Sam Kriegman,2512097623
Catherine Bliss,2172119545
Margaret Eppstein,2044064225
Alan Ling,2110959906
Tian Xia,2806316025
John King,2151803800
Jonathan Dowds,1985481030
Chris Farmer,2624617759
Ryan McGinnis,2078144866
Zhenyu Lu,2130466494
Carmen Smith,2143536801
Sergey Krivov,2071332794
Mads Almassalkhi,2635332402
Jamen Bartlett,2150007905
Andrew Reagan,2109968616
Brian Voigt,2288363050
Joseph Near,2016638031
Dilan Kiley,2555279898
Song Wang,2308578911
Gary Johnson,2160767409
Luis Espinosa,2896487862
Qijun Chen,2172131940
Trina Magi,1938179718
Joshua Bongard,2230153891
E. Sanchez,2231127188
Stuart Kauffman,2244449681
Tianyu Cao,2223258353
David Darais,2893562273
Clifford Singer,2721325500
Jason Bates,2515460582
Matthew Bovee,2974568041
Nick Cheney,2497752173
Julie Dragon,1964296228
Donna Rizzo,2144482841
Anton Bernatskiy,2227337464
E. Gaddis,2172035307
Haiguang Li,2584004096
Ahmed Hamed,2166505279
Laura Haines,2127183478
Marcia Golmohamadi,2419009533
Dryver Huston,2046764600
Tim Stevens,2971432525
Chike Abuah,2971845808
Aaron Nichols,2146400177
Mark Wagy,1986340381
Mahraz Amini,2561728602
Peter Spector,2507906225
Eric Clark,2113073424
Li Chen,2698420343
Robert Snapp,2251536460
Christopher Jones,2110933801
Richard Galbraith,2111870255
Edmund Hart,2098531148
G. Mirchandani,1983638418
Nicholas Allgaier,2496768994
Hugh Garavan,692873963
Selene Colburn,2174540615
Daniel Lustgarten,2461914408
Clare Ginger,1647171963
Hilary Falk,2414113907
Bernard Cole,2950041842
Bo Jiang,2805682013
X.S. Wang,2712473659
Lawrence Weed,2076662523
Catherine Orr,2102025184
Scott Mackey,2165219728
Sage Hahn,2947888449
Shruti Sharma,2196172768
Jarlath O'Neil-Dunne,1989792215
Burton Sobel,1884321241
James Calame,1990630189
Arshia Noori,2117509183
Joachim Müller,2129363950
Andreas Karnbach,2549779409
Deborah Janks,2550945956
Nicole Habel,2557942033
Bryan Mason,2660675458
Pierre Znojkiewicz,349090444
Amber Billey,2145933582
Collin Cappelle,2515762107
Dorothy Allard,2725511475
Joe Roman,2101583000
Marilyn Lucas,2146682471
Sakil Chowdhury,2765326991
Yu He,2290524399
Laurie Kutner,2466574925
Graham Sherriff,2102463259
Guojun Mao,2654521471
Gong Chen,2701566564
Ying Yang,3037349017
David Novak,2128016196
Shawn Egri,2614723583
Zhao Li,2619180916
Scott Tighe,2098976730
Cesar Barrios,2155192991
Thomas Ahern,2583939138
Oliver Goodenough,2188536708
James Sullivan,2099211130
Thomas McAndrew,2917391956
T. Xia,2805934917
Narine Manukyan,2148262580
Patrick Poucheret,2323645778
Nicholai L'Esperance,2227371697
Mohamed Metwally,2692736859
James Jamison,2621291944
Xipei Liu,2738941426
Jeffrey Dinitz,1429453644
Reed Gurchiek,2440611622
Lei Chen,2310918999
Mary Cushman,2046859330
Jonathan Katz,2311037748
Elizaveta Guseva,2749786887
Jeffrey Horbar,1213148983
Laurent Hébert-Dufresne,1529926500
Rohit Shetty,2500627347
Nawaf Nazir,2888881749
Xia Li,2527880767
Nancy Crane,2697051896
Karim Chichakly,2074957118
Xianhua Jiang,2126993505
Linda Schadler,2763082467
Larry Shirland,288996925
Stanley Rush,1991843945
John RingIV,3009619910
Blake Hewgill,2620602118
David Dewhurst,2633626795
Peter Spitzform,172365615
Alice Stokes,2106411923
Catherine Tran,2601714484
Hosna Jabbari,2050432516
Darren Hitt,1400389367
Michael Arnold,2903954358
Steven Anderau,2941408330
Peter Bingham,2166358131
Chase Cockrell,2888210615
Daniel DeSanto,2608928374
Hamid Ossareh,2884770715
Pauline Ratnasingam,2894372212
Gary Ward,2134005928
Linda Brew,2667507426
S. Yu,2514783008
Rod Scott,2600585263
Amanda Hernan,2807611727
J. Mahoney,2950835497
Helena Vladich,2682943455
M.S Hundal,2807412317
Mitchell Tsai,2218113293
Elizabeth Carter,2152599865
Austin Troy,2058077970
Richard Jesse,2128506048
R. Ketcham,2496276859
Megan Allison,2591005986
X. Wang,2633006992
Serge Wiltshire,2643614427
Julia Perdrial,790972262
Saurav Acharya,2099313770
Frances Delwiche,1870880859
Louis deRosset,1371640554
Rex Forehand,2635146597
Greggory Carpenter,2224443146
Mark Olofson,2330870489
Xiaoyang Wang,2680065685
Therese Donovan,2599468270
Yan Zhang,3034470466
Maureen Neumann,2134637677
Robert Erickson,2336976531
Daniel Bentil,2014381912
Keith Pelletier,1974918372
Sean MacFaden,2022105050
Timothy Wong,2765772988
Ali Javed,2573342032
Michael Watson,2311351525
Sarah Greenberg,2235887459
John Ring,2984538186
David Darias,2987742789
