John Stankovic,2030977062_https://scholar.google.com/citations?hl=en&user=4VJre9IAAAAJ
Kevin Skadron,1975721694_https://scholar.google.com/citations?hl=en&user=Q-As1CEAAAAJ
Mircea Stan,2252019998
David Evans,2612706959_https://scholar.google.com/citations?hl=en&user=DsR4PucAAAAJ
Michael Morris,2113568395
Benton Calhoun,2167782634
Marty Humphrey,2165849269_https://scholar.google.com/citations?hl=en&user=NaVxc4wAAAAJ
Andrew Grimshaw,1993832083
Nicholas Tustison,841962150
Kamin Whitehouse,2001774235_https://scholar.google.com/citations?hl=en&user=ob_3jn4AAAAJ
John Lach,2034862674
Jeremy Sheaffer,1044943311
Brian Blum,2119194289
Karthik Sankaranarayanan,2031601390
Kevin Sullivan,2126702569_https://scholar.google.com/citations?hl=en&user=2-jY1SQAAAAJ
Gang Tao,2117352359
Anthony Wood,2163126917
Sivakumar Velusamy,2064654812
Christopher Durst,2242406809
Maite Brandt-Pearce,2289332390
Jack Davidson,2138526175
Ting Yan,2168005716
Mary Soffa,686913843
John Knight,2178599376
Sudha Krishnamurthy,2146794484
Sang-Ha Lee,2664772188
Peter Kasson,2001567881
Zongli Lin,2105209095
Donald Brown,2105202417
Yanjun Qi,2255911127
Alfred Weaver,2098930050_https://scholar.google.com/citations?hl=en&user=0skgDnMAAAAJ
Malathi Veeraraghavan,2183103760
Haiying Shen,2105893249_https://scholar.google.com/citations?hl=en&user=W0Cx7ZAAAAAJ
Jason Hiser,2007290804_https://scholar.google.com/citations?hl=en&user=bZROmAEAAAAJ
Anh Nguyen-Tuong,81472127
Yafeng Wu,2137728911
Ming Mao,2310448705
William Wulf,2257274423
Joanne Dugan,2721014159
Stephen Wilson,2132189869
Gabriel Robins,1993533623
Randy Pausch,2139439197
Daniel Willingham,1963086673
Matthew Gerber,2121066561
Adam Barth,2113140663
Hongning Wang,2157880984_https://scholar.google.com/citations?hl=en&user=qkdvKNoAAAAJ
Tamim Sookoor,2725059225
Mark Hanson,2139203405
Greg Humphreys,2154627022
Scott Acton,3003775211
Pieter Hooimeijer,60101718
Nicholas Sidiropoulos,2268379917
Jiakang Lu,2101462646
Jason Lawrence,2110715440
Lingxuan Hu,2106146585
Pascal Vicaire,329300128
Boris Kovatchev,2010865211
Jingbin Zhang,2120352373
Laura Barnes,2164510933
Connelly Barnes,2160640187
S. Ghosh,2144355596
James Aylor,1999541656
Qiang Li,2493869863
Ahmed Abbasi,2160800653
Raymond Buse,2051708257
G. Wasson,1984669101
Ke Wang,2715302548
Peter Beling,279923867
Yousef Shakhsheer,2009407499
Harry Powell,2222918224
Stephen Patek,57698676
Matthew Conway,2138818861
James Boley,2021549188
William Pearson,2127531494
Mohammad Mahmoody,2318129066
Yanqing Zhang,2310773730
Joanne Lannigan,1852364043
Marc Breton,2133156528
Brian Holben,2112196690
Tianlu Wang,2741727716
Qiuhua Cao,2098296488
Yaodong Yu,2803477253
James French,2106057372
Krasimira Kapitanova,1969140856
Karsten Nohl,168794112
Ronald Williams,2132052383
Eric Field,2520590416
Ge Gao,2691035488
Paul Reynolds,2169830103
Neal Kassell,604364466
Luca Musante,1830301743
Uta Erdbrügger,2044852885
Vicente Ordonez,2152316929_https://scholar.google.com/citations?hl=en&user=TtA_j4YAAAAJ
Abdeltawab Hendawi,2013544815
Abhi Shelat,2951776868
Clinton Smullen,2230951639
Abhishek Roy,2303389048
C. Goues,2222875363
Jie Li,2987122577
Samira Khan,2097171107
Qianling Cao,2096738937
Dezhi Hong,2310673635
Jiajing Wang,2108097914
Michael Dewey-Vogt,2230614244
K. Ringgenberg,2305829078
Dennis Proffitt,680646068
Anurag Nigam,2230320747
Cliff Woolley,2125782025
Craig Meyer,2133687522
Bradford Campbell,2224181907
Zhiheng Xie,2172317091_https://scholar.google.com/citations?hl=en&user=5yIcDkIAAAAJ
Sarah Preum,2228136005_https://scholar.google.com/citations?hl=en&user=TyO23NgAAAAJ
Lukasz Szafaryn,1006543089
Lei Fang,2614303824
Samee Zahur,2041638204
Enamul Hoque,2164587851
Robert Dickerson,2148208673
Charles Ebersole,2219137802
Glen Bull,2062683368
Josyf Mychaleckyj,2258750769
