Walid Saad,2998186077
Wenjing Lou,2170816905
Y. Hou,2140673536
Jeffrey Reed,3020975461
Edward Fox,2159046469_https://scholar.google.com/citations?hl=en&user=KcbSBrUAAAAJ
Naren Ramakrishnan,2199255697
Wu-chun Feng,2120752097
Ing-Ray Chen,2288727122
Yi Shi,2430173121
Doug Bowman,2110484598_https://scholar.google.com/citations?hl=en&user=KXCqonwAAAAJ
Jia-Bin Huang,2129541952
Chris North,2157611257_https://scholar.google.com/citations?hl=en&user=yBZ7vtkAAAAJ
T. Clancy,2158851322
Timothy O'Shea,2342821912
Patrick Schaumont,2102130231
Hanif Sherali,82646880
Harpreet Dhillon,2133675389
Ali Butt,2138799500_https://scholar.google.com/citations?hl=en&user=oqux_wcAAAAJ
Binoy Ravindran,2048844354
Michael Hsiao,2159047157
Allen MacKenzie,2157499462
Xinwei Deng,2109454437
Jung-Min Park,2689660087
Stephen Edwards,2127897314_https://scholar.google.com/citations?hl=en&user=5pV6DQ4AAAAJ
Stanislaw Antol,2272768817
Weiguo Fan,2158719935
Chang-Tien Lu,2112878203_https://scholar.google.com/citations?hl=en&user=TJI8JW0AAAAJ
Scott Midkiff,1748010142
Layne Watson,2147592994
Danfeng Yao,2223548281
Clifford Shaffer,2148286169_https://scholar.google.com/citations?hl=en&user=v0tJmyYAAAAJ
Kirk Cameron,2101472238_https://scholar.google.com/citations?hl=en&user=ZH1pa0EAAAAJ
Liguang Xie,2101994468
R. Buehrer,393736456
Yiwei Hou,2303571029
Fenye Bao,2150408249_https://scholar.google.com/citations?hl=en&user=r1S8NBEAAAAJ
B. Prakash,2124002246
Mohamed Eltoweissy,2065703641
Yao Zheng,2310506903
Alexey Onufriev,2093925372
G. Loganathan,2496745434
Eli Tilevich,267735007_https://scholar.google.com/citations?hl=en&user=t4OSUfgAAAAJ
Osman Balci,2465233189
Peter Athanas,282531091
Yue Wang,2288611087
Animesh Patcha,161391290
D. McCrickard,387951467
Wensi Xi,2086273087
Charles Clancy,2102679782
Abhranil Maiti,2140097620
Denis Gracanin,2021419464_https://scholar.google.com/citations?hl=en&user=dhwyJggAAAAJ
Dushan Boroyevich,1617407876
V. Kumar,2137890755
Bing Wang,2692680140
H. Hartson,1930385063
Fred Lee,2145052156
Christopher Roy,2119933538
Deborah Hix,2125227697
Lingjia Liu,2164541400
Harsh Agrawal,2486623280
Yaling Yang,2147527658
Jianhua Xuan,2133637394
Jia Guo,2309075341
Patrick Butler,2293049679
Heshan Lin,2106718630_https://scholar.google.com/citations?hl=en&user=uyXz_Ia8KMIC
Joseph Gabbard,2075331601
William Woodall,2073403473
Chandan Reddy,2100435683_https://scholar.google.com/citations?hl=en&user=LoXnMOIAAAAJ
Rolando Burgos,2161102946
Keith Bisset,2290866383
Mainak Banga,2043287422
Saifur Rahman,2601626281
Barbara Ryder,2139647612_https://scholar.google.com/citations?hl=en&user=OdWimfcAAAAJ
Joseph Tront,701632019
Gang Wang,2643165826
Dennis Kafura,1985039808_https://scholar.google.com/citations?hl=en&user=rWuQTEcAAAAJ
Thomas Martin,2096137756
Carl Dietrich,2110947174
Shucai Xiao,2152475995
Neelima Chavali,1529359838
Sudeep Bhattarai,2230466405
William Frakes,147044506
R.M. Buehrer,1850730077
Hung-Ching Chang,2131369272
Charles Bostian,2090128952
Yuliang Zou,2890131388
Edward Valeev,129197692
Marc Lichtman,2144107333
Igor Cvetkovic,2052242798
Hamilton Turner,2265087384
Randy Marchany,1969835050
Christopher Andrews,2168124717
SaiDhiraj Amuru,324009357
Moonjeong Chang,2098164424
Cameron Patterson,2151672649
Deborah Tatar,731321781_https://scholar.google.com/citations?hl=en&user=LWcEVAIAAAAJ
Thomas Rondeau,636700736
Awais Khawar,2012761183
Munawwar Sohul,2346324401
T. Crawford,2147913818
David Raymond,2106117302
Yang Yi,2400939308
Richard Nance,2136233962
Xiaokui Shu,2133804102
Guanying Wang,2162736141
Christopher Barrett,2320630284
William Tranter,2918717356
V. Kukshya,2573891082
Leyla Nazhandali,2289737475
Achla Marathe,2111312453
Mehrnaz Afshang,2077709020
Adrian Sandu,3009183479_https://scholar.google.com/citations?hl=en&user=A7fZNg0AAAAJ
Michael Cogswell,2106263932
Sushant Sharma,2182119745
Parang Saraf,2160730744
Michael Hochella,2134033544
Jih-Sheng Lai,2118160614
Ruiliang Chen,2147697681
Robert McGwier,662067917
Aydin Aysu,248433935
Nicholas Polys,149106609
Alexander Leonessa,2124874435
J. Neel,2116734829
Mark Gardner,2098347688_https://scholar.google.com/citations?hl=en&user=mkXVbwYAAAAJ
Taeyoung Yang,2165992423
Stephen Eubank,2321832285
Eric Vejerano,2025680698
Matthew Hull,2162314135
Sean McGinnis,2614220327
Lenwood Heath,2145039536_https://scholar.google.com/citations?hl=en&user=9VDFIQoAAAAJ
Filip Blagojevic,861903866
James Arthur,2101839160
Maleq Khan,2257365121
Godmar Back,2145185828_https://scholar.google.com/citations?hl=en&user=WUb-KZ0AAAAJ
A. Abbott,2101425562
Tao Ni,2143163799
Wenhai Sun,2097629458
Sathappan Muthiah,1509108369
Miao Yao,2227062766
D.H. Friend,2096633234
Steve Harrison,2106946200
Guoqiang Yu,2551524386
Xiaofu Ma,2119470560
Gaurang Naik,2961397052
Calvin Ribbens,182482106_https://scholar.google.com/citations?hl=en&user=gs_WpWIAAAAJ
Raghunandan Rao,2345204367
Linda Wallace,2287680238
Philip Isenhour,274344141
Mohammad Abdel-Rahman,2103437970
Bert Huang,2121178673_https://scholar.google.com/citations?hl=en&user=TrqegZIAAAAJ
Bilgiday Yuce,2248151639
Nathan Self,2093704914
Gizem Korkmaz,2058784526
Haya Shajaiah,1274087161
Scotland Leman,2048268422
Ghaleb Abdulla,2157047613
Hesham Rakha,2608468833
Markus Lorch,2107253855
Dennis Neale,2150671435
Stephen Williams,2166555820
Ting Hua,2106233920
Prithwish Chakraborty,2121182072
Purvi Saraiya,1983237413
Beth Yost,2144804786
Felipe Bacim,262231304
Leanna House,2131421683
Michael Hopkins,2121984518
Rao Shen,2136217075
Ke Tian,2624361106
Chiranjib Saha,2465033626
Bimal Viswanath,2151819869_https://scholar.google.com/citations?hl=en&user=bu1SCOuD_CMC
Reza Vaghefi,2170605343
Nahid Ghalaty,2224200492
Rupinder Khandpur,2054069009
Craig Woolsey,1894504606
Vassilis Kekatos,2066621843
Sallie Henry,2949317602
G. Wang,2718879887
Ting-Chung Poon,2264403900
C. Chewar,1907243173
Aidin Ferdowsi,2690390698
Vishnu Chetlur,2577005167
Ruth Grene,2078555211
Mina Labib,2286780865
William Headley,2227364385
Kexiong Zeng,2100912969
K. Krish,2224282323
S. Venkatesh,2105504123
Jeffrey Birch,2102997421
Andwenjing Lou,2222499920
Maury Nussbaum,2232482067
Qiang Li,2225868277
Lamine Mili,2640813097
Yanzhi Dou,2222045136
Jin-Hee Cho,2151604816_https://scholar.google.com/citations?hl=en&user=wToVkEUAAAAJ
Yating Wang,2225614848
Timothy Newman,1980441066
Chun-Yi Su,2304192029
Stephen LaConte,2465693273
T. Murali,422606881
James Thorp,2110628299
Jiangzhuo Chen,2140873248
Alan Michaels,2046194954
Sumit Shah,2287687457
Yong Cao,2105627681
John Tyson,2101777055
Steven Ellingson,2048311497
Ryan Gerdes,2103524448
Meng Wu,2480381493
Hua Lin,1995221999
Andrea Kavanaugh,2114829366
Lauren Bradel,2007067512
Anibal Sanjab,2304407330
Dennis Hong,2154790628
Matthew Dunlop,2097017369
Patrick Fiaux,2070346357
Ege Gulcan,2037837480
