Jonathan Turner,2130380445_https://scholar.google.com/citations?hl=en&user=Cgx9W6UAAAAJ
Chenyang Lu,2099764636
Raj Jain,2914042497
David Essen,2025321686
Patrick Crowley,2147331283_https://scholar.google.com/citations?hl=en&user=n6wC7nwAAAAJ
Abraham Snyder,2595529878
Christopher Gill,2011528639
Yixin Chen,2295009377_https://scholar.google.com/citations?hl=en&user=NByrsK0AAAAJ
John Lockwood,2022287624
Matthew Glasser,2112537157
Kunal Agrawal,2115207702_https://scholar.google.com/citations?hl=en&user=W362rUwAAAAJ
Arye Nehorai,756665149
Marcus Raichle,2010898958
Roger Chamberlain,2187206389_https://scholar.google.com/citations?hl=en&user=fAw_t5EAAAAJ
Timothy Coalson,2067847740
Sarang Dharmapurikar,1841619341
Wenlin Chen,2231133452
Lav Gupta,2228122089
Joseph O'Sullivan,2290727021
David Taylor,2311495610
Yuanfang Zhang,2226404882
Subharthi Paul,2150637151
Jing Lu,2251664286
Tao Ju,2191858314_https://scholar.google.com/citations?hl=en&user=JsK4KpMAAAAJ
Caitlin Kelleher,2125974763
Fred Kuhns,2080504501
Sailesh Kumar,2151794308
Weixiong Zhang,2138370184_https://scholar.google.com/citations?hl=en&user=vuKTnnsAAAAJ
Sally Goldman,2161482269
Steven Petersen,2155714191
John DeHart,2158462544
Richard Wilson,2779760225
John Harwell,2102291221
David Larson,2256209103
Jeremy Buhler,2034695932_https://scholar.google.com/citations?hl=en&user=yQXfAWMAAAAJ
Daniel Moran,2130372238
Praveen Krishnamurthy,2152102306
Zhixiang Xu,2118732703
Eric Leuthardt,91712042
Gregory Hackmann,1964495649
Chien-Liang Fok,2046605784
Li Ding,2126753423
David Zar,2118974388
Shantanu Chakrabartty,2038385867
Daniel Marcus,2126089358
Stephen Moore,2108092585
Mark Franklin,2110734602
Carl Hacker,2423450540
Charles Wiseman,2860321021
Amy Freestone,2225383968
James Wilson,2126410172
Michael McLellan,275359729
Kenneth Clark,2153270623
J. Wilson,2615989347
Donald Conrad,2006958102
David Maffitt,105633308
You Xu,2123053962
Bruce Vendt,2063622501
Todd Sproull,2004618994
David Levine,2103788950
Paul Koppel,2561013399
Rebecca Treiman,2020097587
Stanley Phillips,2503918155
Michael Pringle,2701813229
M. Shreedhar,388349195
Ron Cytron,2227405667
George Weinstock,2443627829
Hui Zhang,2636233443
Gary Stormo,2012377278
Joseph Culver,2089326650
Daniel Koboldt,1854405783
Philip Stahl,1975761679
Jon Turner,2685074952
A.K. Tamimi,2974444506
Todd Wylie,2072160691
Sanjoy Baruah,2145728887
Tzyh-Jong Tarn,2314854832
Timothy Laumann,1997556906
Sisu Xi,2154968650
David Balota,2250250592
Edward Siuda,1840480729
Jordan McCall,2112348152
Brett Kessler,2139915676
Anish Mitra,2145628629
Ream Al-Hasani,2074967782
Zhicheng Cui,2788471410
Xuan Zhang,2806821550
Sanmay Das,2132434690_https://scholar.google.com/citations?hl=en&user=HRSDO6IAAAAJ
Bjorn Loftis,2680551670
G. Antonio,2102479166
Sherlia Shi,2778720447
Haowei Yuan,2124019140
Chengjie Wu,2096361168
Roman Garnett,2266629704
Bernard Waxman,2091198931
Eric Xu,2571332882
John Rohrbaugh,2170678701
M Deanna,1966743385
Nicholas Anderson,2338454180
I-Ting Lee,2394541306
ShiNung Ching,2114782961
Tim Harrison,2141807499
Timothy Ley,2084997818
Jr-Shin Li,2109437090
Chiye Li,2141912202
Erik Sirevaag,1822398916
Roch Guerin,1992892501
Yevgeniy Vorobeychik,2305697090
Brian White,2101390697
Maede Zolanvari,2803343822
Marion Neumann,2543420541
Joseph Lancaster,2166752444
Brendan Juba,2033624847
Zhao Tan,2116595563
Chen Liu,2937811905
Tara Salman,2922621713
Sumedh Mungee,246431948
Ramesh Agarwal,2194845010
Mart Haitjema,684752686
Irfan Pyarali,56757540
Deshan Yang,2168152977
Ting Wang,2507389767_https://scholar.google.com/citations?hl=en&user=GGcIzZ4AAAAJ
David Lu,2168139430
Charles Anderson,2140520855
Muhan Zhang,2539585314
Qilong Zhang,2974762672
Michael Harms,2097918547
Quing Zhu,2170099999
Ayan Chakrabarti,2130003177
Gurudatta Parulkar,1264156990
Xiaowei Wang,2677307436
Thomas Bailey,2172679573
Zhenxing Luo,2695982488
Abdel-Karim Tamimi,2857965802
Phani Chavali,2064856130
Arpith Jacob,2789598283
Peng Yang,2466637348
Austin Abrams,2170417705
Matthew Hickenbotham,2002998583
M. Pachos,2974161663
Ulugbek Kamilov,2642996184
Dolvara Gunatilaka,1849418540
Gregory Burgess,2122237593
Liang Zhou,2304935265
Paul Gross,2100832739
Jing Zhu,2930900554
Heather Drury,2053902497
Adam Eggebrecht,2021465152
Jeffrey Zacks,1640337207
Rouhollah Rahmani,2095826532
N. Roman,2125303167
Ruoyun Huang,2149586599
John Pfeifer,2119918732
Jyoti Parwatikar,2516555196
Huayi Zeng,2591717162
Yong Fu,2295939410
Weimin Zhou,2587543608
David Ferry,2122421699
Matthew May,2306321483
Matthew Bailey,2809919190
Huang-Ming Huang,2141053842
Ken Wong,2545566440
Andrew Martin,2145441056
S. Swamidass,2433277931
Sasa Mutic,204591375
Sangeeta Bhattacharya,2162781587
Lars Wittenburg,2054733036
Guoling Xing,3039723841
Jonathan Peelle,1067874969
Bill Siever,2611033210
Nanbor Wang,2120894179
Kenneth Goldman,2116667463
Mohana Ramaratnam,2073525927
Nico Dosenbach,316571703
Zhen Zhang,2637350145
Zhao Xing,2110282470
Kevin Archie,2016417561
Charlie Wiseman,1992276064
Tim Vickers,2169663722
Justin Wilson,2098363433
Michelle Ichinco,2512440467
Kenji Aono,2531586889
Sreyankar Nandy,2600208061
Matthew Smyth,2124901301
Lu Liu,2149988162
Jie Zheng,2231803844
Jennifer Elam,2112665696
Hari Adiseshu,1031852342
J.M. Ollinger,2974227555
Michael McKay,2074707144
Rick Herrick,2294526037
William Horton,2304592513
Venkita Subramonian,302247631
Zubin Dittia,2467114806
Sharath Cholleti,2973920245
Ramaprabhu Janakiraman,1966974671
Kun Wang,2722425225
Guandong Wang,2151461971
Bruno Sinopoli,87460347
Philip Bayly,1971647876
Lin Ma,2662933722
Sudipta Roy,2193539364
Terry Tidwell,2144168383
Walker Burgin,2231767850
Ning Zhang,2309423283
Benjamin Zeff,1970360015
Rohit Pappu,2127066387
Todd Braver,2058296205
Francis Miezin,270352404
Shali Jiang,2106879698
Michael Brent,697843885
James Dickson,2104717184
Donna Hanlon,2479652159
Christopher Byrnes,2304336467
Graham Colditz,2067218961
Samuel Achilefu,2304715880
Radu Handorean,2438679965
Srinivasan Venkatachary,126994969
Rohan Sen,2155237924
Girish Chandranmenon,363178157
Kyle Harms,2155700590
James Hu,2127689582
Ronald Indeck,2030068027
Dor Kedem,2312702745
Nicholas Szrama,1216255172
L. Johnson,2122517820
T. Chaney,2659505170
Yijian Xiang,2652440446
Sandra Curtiss,2033456422
Michael Hodge,2145289356
Michael Hileman,2437735874
Zheng Chen,2470501032
Adam Bauer,2135113443
Rakesh Nagarajan,2128611122
David Politte,2423666204
Yingming Chen,2123595105
Mark McDaniel,1995435709
Erin Reid,2555862728
Mianzhi Wang,2564479954
Gustavo Malkomes,2055671905
Weijun Guo,2302983048
Jerome Cox,2614554735
Brandon Harris,2310216764
Humberto Gonzalez,2224477555
Prashanth Pappu,278914153
Sri Kondapalli,2607936865
Jack Engsberg,2031439249
Jonathan Beard,2124396102
Ken Goldman,2973586731
Linda Larson-Prior,2344429321
S.Y. Shi,2974476211
Hila Abraham,2151819842
Obi Griffith,2166507394
Philip Payne,683941801
Christopher Miller,2118446582
Peter Hovmand,1240968137
Vignesh Narayanan,2501485592
Chong Li,2152541131
Charles Gaona,2105449345
Mohit Sharma,2607856618
Ira Hall,2098452281
Marin Kollef,1145070569
Paras Tiwari,2099465324
Richard Laforest,346438275
Jeff Parsons,2871485435
Yu Sun,3014340659
Zhihao Xia,2808332534
Jiaye Wu,2796244522
Aahana Bajracharya,2983052470
Deanna Greene,2198108401
Eric Tyson,2058946690
Yujia Chen,2528233535
Bin Rao,2282612994
Nuzhet Atay,2056241249
Tammie Benzinger,3037661081
I. El-Naqa,2604057696
Joe Barcroft,2123514971
Peng Li,2303480230
Kefu Lu,2231893753
Joset Etzel,1894535140
Yujie He,2231071039
Cindy Brantmeier,695703212
Kristin Wenger,2063263839
Joseph Price,2104963845
Sarah Elgin,720397725
Matthew Wyczalkowski,64052782
Sean Kristjansson,2012252245
Matthew House,2600300223
Yi Su,2275130570
Zhixiang Zhixiang,2511671983
James Buckley,2997369575
Gary Patti,2071568801
Erik Herzog,2017418639
David Schuehler,2950963185
Siddhartha Chib,2165466637
Scott Doniger,1874899230
Shenghua He,3004397501
Haley Abel,2104878944
Mikhail Milchenko,2040266939
Greg Hackmann,2599142053
Chao Huang,2597334286
Jay Ponder,2177447226
Moshe Looks,1973981530
Kylia Miskell,1770401673
Jeyashanker Ramamirtham,2974467126
An Zou,2625225707
David Ballard,2100749925
Malachi Griffith,2127268438
Jon Schindler,2556820214
Jin-Moo Lee,2204340076
Radoslav Marinov,2428919788
Peng Yi,2305674420
Shengkui Gao,2169511257
Yuan-Chuan Tai,2097648153
Cihat Eldeniz,187823431
Sheng-Kwei Song,2132859522
P.S. Min,2405281708
Paul Commean,2247679466
Liyi Dai,2224441619
Hongyu An,2144269872
Mahlega Hassanpour,2054037671
Atena Tabakhi,2747546253
William Chapman,2153815901
Adith Boloor,2921523292
Liang Tong,2753179430
Jeffrey Bradley,2101857394
Jiaming Liu,2898769805
Fugen Li,2250377313
Michael Avidan,2191561859
Dionnet Bhatti,2225776207
Li Xia,2421205266
Gabe Sobczak,2551072969
Dong-oh Seo,2646713708
Joseph Wingbermuehle,2001490992
Robert Morley,2391981495
Shakir James,2099015335
Cheng Ma,2596781911
Dennis Barbour,2037410982
Zachary Skidmore,2056574366
Chris Gill,https://scholar.google.com/citations?hl=en&user=KiAHK18AAAAJ
William Richard,https://scholar.google.com/citations?hl=en&user=HQeEzR0AAAAJ
Bo Li,https://scholar.google.com/citations?hl=en&user=w-BqKj8AAAAJ
Tyler Hughes,https://scholar.google.com/citations?hl=en&user=CTU5IeQAAAAJ
Yu (孙彧),https://scholar.google.com/citations?hl=en&user=5c52t54AAAAJ
Kai Zhou,https://scholar.google.com/citations?hl=en&user=J2QAuAUAAAAJ
Yajie Yan,https://scholar.google.com/citations?hl=en&user=Ka8bX5UAAAAJ
Junjie Liu,https://scholar.google.com/citations?hl=en&user=hNQhaFUAAAAJ
Zhuangzhuang Zhang,https://scholar.google.com/citations?hl=en&user=fmDLQ7oAAAAJ
Xingyi Du,https://scholar.google.com/citations?hl=en&user=ylRu_koAAAAJ
