Matthew Valenti,2116339457_https://scholar.google.com/citations?hl=en&user=3j0dkI4AAAAJ
Xin Li,2640886159
Donald Adjeroh,23750366_https://scholar.google.com/citations?hl=en&user=WfzNXGIAAAAJ
Guodong Guo,2768669368_https://scholar.google.com/citations?hl=en&user=f2Y5nygAAAAJ
Afzel Noore,2996779735
Bojan Cukic,2193052964
Nasser Nasrabadi,2461132757
Katerina Goseva-Popstojanova,2061499909
Hany Ammar,2118420981
Jane Caldwell,2554023856
Ekrem Kocaguneli,249379578
Michael Hohn,2603132273
Thirimachos Bourlai,214859206
Bin Zhao,2303865881
Natalia Schmid,678737753
Gianfranco Doretto,1216427927_https://scholar.google.com/citations?hl=en&user=ReEG0FwAAAAJ
David Klinke,1871788739
Ashley Russell,2565723515
Ali Feliachi,2948838825
Raghavender Jillela,2034085542
Salvatore Talarico,2119689276
Marcello Napolitano,1968944678
Saiph Savage,2135910923
Naman Kohli,2231003016
Krzysztof Ciesielski,2425948989
Saeid Motiian,2279968697
Hadi Kazemi,2145565891
Daksha Yadav,2168113673
Shifu Hou,2433940835
Emanuela Marasco,2129265593
Jeremy Dawson,2131866281
Omid Dehzangi,921030072
Yu Zhu,2304750483
Vinod Kulathumani,2181616077
Yu Gu,2226664320
Harshinder Singh,2109211938
Yan Ma,2661670069
Abdel Sayyad,2105641173
Lawrence Hornak,2086621049
Sobhan Soleymani,2582725302
J. Odom,413140501
Asem Othman,2097377184
Marco Piccirilli,2222282684
Ali Dabouei,2782234512
Jinyu Zuo,2131132173
Mayank Vatsa,2921817951
Victor Fragoso,2111540212
David Graham,2108974391
Brandon Rumberg,2169213218
Nathan Kalka,1918905373
Terry Ferrett,2023465095
Lingwei Chen,2222016444
Aldo Romero,2595466956
Shahab Mohaghegh,1998299342
Wenbin Chen,2311023809
Timothy Warner,2025128616
Ludwig Schaupp,2617558411
Lan Guo,2973322348
Diaa Nassar,1989151117
Seyed Iranmanesh,2580201899
Fariborz Taherkhani,2890152464
Mario Perhinschi,123765879
S.M. Yacoub,1262027015
