Author,Institution,Venue,Year,AjustedCount
Christos Faloutsos,Carnegie Mellon University,ICML,2017,0.125
Christos Faloutsos,Carnegie Mellon University,ACL,2018,0.16666666666666666
Christos Faloutsos,Carnegie Mellon University,INFOCOM,2007,0.16666666666666666
Takeo Kanade,Carnegie Mellon University,NeurIPS,1995,0.3333333333333333
Takeo Kanade,Carnegie Mellon University,NeurIPS,2010,0.25
Takeo Kanade,Carnegie Mellon University,ECCV,2012,0.5833333333333333
Takeo Kanade,Carnegie Mellon University,ECCV,2004,0.5
Takeo Kanade,Carnegie Mellon University,ECCV,2008,0.5
Takeo Kanade,Carnegie Mellon University,NeurIPS,2008,0.25
Takeo Kanade,Carnegie Mellon University,ECCV,2016,0.3333333333333333
Takeo Kanade,Carnegie Mellon University,ICML,2006,0.5
Takeo Kanade,Carnegie Mellon University,ECCV,2014,0.34285714285714286
Takeo Kanade,Carnegie Mellon University,ICML,2005,0.5
Takeo Kanade,Carnegie Mellon University,ECCV,2006,0.3333333333333333
Martial Hebert,Carnegie Mellon University,ECCV,2008,0.5333333333333333
Martial Hebert,Carnegie Mellon University,ECCV,2016,1.4166666666666665
Martial Hebert,Carnegie Mellon University,ECCV,2010,1.5
Martial Hebert,Carnegie Mellon University,NeurIPS,2010,0.25
Martial Hebert,Carnegie Mellon University,ECCV,2014,1.5666666666666667
Martial Hebert,Carnegie Mellon University,NeurIPS,2009,0.3333333333333333
Martial Hebert,Carnegie Mellon University,NeurIPS,2017,0.4583333333333333
Martial Hebert,Carnegie Mellon University,ECCV,2012,0.8333333333333333
Martial Hebert,Carnegie Mellon University,NeurIPS,2016,1.0
Martial Hebert,Carnegie Mellon University,ICML,2006,0.5
Martial Hebert,Carnegie Mellon University,ECCV,2002,0.5
Martial Hebert,Carnegie Mellon University,ECCV,1994,0.5
Martial Hebert,Carnegie Mellon University,ECCV,1996,0.6666666666666666
Abhinav Gupta,Carnegie Mellon University,ECCV,2016,2.4571942446043167
Abhinav Gupta,Carnegie Mellon University,ECCV,2008,0.5
Abhinav Gupta,Carnegie Mellon University,NeurIPS,2013,0.3333333333333333
Abhinav Gupta,Carnegie Mellon University,NeurIPS,2010,0.25
Abhinav Gupta,Carnegie Mellon University,ECCV,2018,1.0833333333333333
