Author,Institution,Title,PageStart,PageEnd,Conference,Publisher,Journal,Issue,Book,Volume,Edition,Year,NumAuthors
Ketan Mayer-Pagel,University of North Carolina at Chapel Hill,Performance of a software MPEG video decoder,75,82,,,,,Proceedings of the first ACM international conference on Multimedia,,,1993,3
Ketan Mayer-Pagel,University of North Carolina at Chapel Hill,Toward a common infrastructure for multimedia-networking middleware,39,49,Proceedings of 7th International Workshop on Network and Operating System Support for Digital Audio and Video (NOSSDAV'97),IEEE,,,,,,1997,15
Ketan Mayer-Pagel,University of North Carolina at Chapel Hill,"MPEG video in software: Representation, transmission, and playback",134,144,High-Speed Networking and Multimedia Computing,International Society for Optics and Photonics,,,,2188,,1994,4
Ketan Mayer-Pagel,University of North Carolina at Chapel Hill,Design and performance of the berkeley continuous media toolkit,194,206,Multimedia Computing and Networking 1997,International Society for Optics and Photonics,,,,3020,,1997,2
Ketan Mayer-Pagel,University of North Carolina at Chapel Hill,Coordinated Multi-streaming for 3D Tele-immersion,596,603,,,,,Proceedings of the 12th annual ACM international conference on Multimedia,,,2004,2
Ketan Mayer-Pagel,University of North Carolina at Chapel Hill,A Mechanism for TCP-Friendly Transport-Level Protocol Coordination.,147,159,"USENIX Annual Technical Conference, General Track",,,,,,,2002,2
Ketan Mayer-Pagel,University of North Carolina at Chapel Hill,Synchronized continuous media playback through the World Wide Web,435,436,,,,,Proceedings of the fourth ACM international conference on Multimedia,,,1997,4
Ketan Mayer-Pagel,University of North Carolina at Chapel Hill,A general framework for multidimensional adaptation,612,619,,,,,Proceedings of the 12th annual ACM international conference on Multimedia,,,2004,2
Ketan Mayer-Pagel,University of North Carolina at Chapel Hill,Real-time terascale implementation of tele-immersion,33,42,International Conference on Computational Science,"Springer, Berlin, Heidelberg",,,,,,2003,15
Ketan Mayer-Pagel,University of North Carolina at Chapel Hill,An MPEG performance model and its application to adaptive forward error correction,1,10,,,,,Proceedings of the tenth ACM international conference on Multimedia,,,2002,3
Ketan Mayer-Pagel,University of North Carolina at Chapel Hill,dc: A live webcast control system,111,122,Multimedia Computing and Networking 2001,International Society for Optics and Photonics,,,,4312,,2000,4
Ketan Mayer-Pagel,University of North Carolina at Chapel Hill,Remote 3D medical consultation,139,159,,"Springer, Vienna",,,Virtual realities,,,2011,10
Ketan Mayer-Pagel,University of North Carolina at Chapel Hill,Real-time compression for dynamic 3D environments,185,194,,,,,Proceedings of the eleventh ACM international conference on Multimedia,,,2003,3
Ketan Mayer-Pagel,University of North Carolina at Chapel Hill,Real-time multidepth stream compression,128,150,,ACM,"ACM Transactions on Multimedia Computing, Communications, and Applications (TOMM)",2,,1,,2005,2
Ketan Mayer-Pagel,University of North Carolina at Chapel Hill,Exploiting temporal parallelism for software-only video effects processing,161,169,,,,,Proceedings of the sixth ACM international conference on Multimedia,,,1998,2
Ketan Mayer-Pagel,University of North Carolina at Chapel Hill,The Berkeley continuous media toolkit,451,452,,,,,Proceedings of the fourth ACM international conference on Multimedia,,,1997,4
Ketan Mayer-Pagel,University of North Carolina at Chapel Hill,The Berkeley software MPEG-1 video decoder,110,125,,ACM,"ACM Transactions on Multimedia Computing, Communications, and Applications (TOMM)",1,,1,,2005,3
Ketan Mayer-Pagel,University of North Carolina at Chapel Hill,Spatially-encoded far-field representations for interactive walkthroughs,348,357,,,,,Proceedings of the ninth ACM international conference on Multimedia,,,2001,3
Ketan Mayer-Pagel,University of North Carolina at Chapel Hill,"Scalable, adaptive streaming for nonlinear media",68,83,,IEEE,IEEE MultiMedia,3,,14,,2007,2
Ketan Mayer-Pagel,University of North Carolina at Chapel Hill,Irw: An incremental representation for image-based walkthroughs,67,76,,,,,Proceedings of the tenth ACM international conference on Multimedia,,,2002,3
Ketan Mayer-Pagel,University of North Carolina at Chapel Hill,Exploiting spatial parallelism for software-only video effects processing,252,263,Multimedia Computing and Networking 1999,International Society for Optics and Photonics,,,,3654,,1998,2
Ketan Mayer-Pagel,University of North Carolina at Chapel Hill,Software-only video production switcher for the Internet MBone,28,39,Multimedia Computing and Networking 1998,International Society for Optics and Photonics,,,,3310,,1997,4
Ketan Mayer-Pagel,University of North Carolina at Chapel Hill,A framework for scalable delivery of digitized spaces,205,218,,Springer Berlin Heidelberg,International Journal on Digital Libraries,3,,5,,2005,2
Ketan Mayer-Pagel,University of North Carolina at Chapel Hill,Deconstructing the discussion forum: Student questions and computer science learning,603,608,,,,,Proceedings of the 2017 ACM SIGCSE Technical Symposium on Computer Science Education,,,2017,6
Ketan Mayer-Pagel,University of North Carolina at Chapel Hill,Intra-stream encoding for multiple depth streams,1,6,,,,,Proceedings of the 2006 international workshop on Network and operating systems support for digital audio and video,,,2006,2
Ketan Mayer-Pagel,University of North Carolina at Chapel Hill,A multicast scheme for parallel software-only video effects processing,409,418,,,,,Proceedings of the seventh ACM international conference on Multimedia (Part 1),,,1999,2
