Christos Faloutsos,cmu
Takeo Kanade,cmu
Martial Hebert,cmu
Mahadev Satyanarayanan,cmu
Katia Sycara,cmu
Abhinav Gupta,cmu
Eric P. Xing,cmu
Edmund M. Clarke,cmu
Hui Zhang,cmu
Lorrie Faith Cranor,cmu
Tom M. Mitchell,cmu
Manuela Veloso,cmu
Alexander G. Hauptmann,cmu
Brad A. Myers,cmu
David G. Andersen,cmu
Jose M. F. Moura,cmu
David Garlan,cmu
Srinivasan Seshan,cmu
Anind K. Dey,cmu
Yiming Yang,cmu
Jason Hong,cmu
Jaime G. Carbonell,cmu
Alan W. Black,cmu
Gregory R. Ganger,cmu
Ragunathan Rajkumar,cmu
Ruslan Salakhutdinov,cmu
Ozan K. Tonguz,cmu
Jodi Forlizzi,cmu
Garth A. Gibson,cmu
Tuomas Sandholm,cmu
Eduard Hovy,cmu
Scott E. Hudson,cmu
J. Broch,cmu
Kenneth R. Koedinger,cmu
Luis von Ahn,cmu
J. Andrew Bagnell,cmu
Chris Harrison,cmu
Norman Sadeh,cmu
Peter Steenkiste,cmu
Fernando De la Torre,cmu
Nicolas Christin,cmu
Radu Marculescu,cmu
Alex Waibel,cmu
Robert E. Kraut,cmu
Larry Pileggi,cmu
Jessica K. Hodgins,cmu
Jamie Callan,cmu
David Brumley,cmu
Lujo Bauer,cmu
Kathleen M. Carley,cmu
Vyas Sekar,cmu
Laura Dabbish,cmu
Guy E. Blelloch,cmu
Bhiksha Raj,cmu
James D. Herbsleb,cmu
Alessandro Acquisti,cmu
Carolyn Penstein Rosé,cmu
Srinivasa G. Narasimhan,cmu
Kamal Nigam,cmu
John R. Anderson,cmu
Florian Metze,cmu
Mor Harchol-Balter,cmu
Jie Yang,cmu
Louis-Philippe Morency,cmu
Marios Savvides,cmu
Graham Neubig,cmu
Reid Simmons,cmu
John Zimmerman,cmu
Haowen Chan,cmu
Alon Lavie,cmu
Mary Shaw,cmu
Soummya Kar,cmu
Aniket Kittur,cmu
Anthony Stentz,cmu
James C. Hoe,cmu
Ariel D. Procaccia,cmu
Diana Marculescu,cmu
Sara Kiesler,cmu
Kris M. Kitani,cmu
Barnabás Póczos,cmu
Geoffrey J. Gordon,cmu
James Newsome,cmu
Yucheng Low,cmu
Manuel Blum,cmu
Jennifer Mankoff,cmu
B. V. K. Vijaya Kumar,cmu
Vincent Aleven,cmu
Zichao Yang,cmu
Anthony Rowe,cmu
Andrew W. Moore,cmu
Yan Ke,cmu
Ralph Gross,cmu
Jonathan M. McCune,cmu
Asim Smailagic,cmu
Danny Bickson,cmu
Simon Lucey,cmu
Tomas Simon,cmu
Jeff Schneider,cmu
Aapo Kyrola,cmu
Deva Ramanan,cmu
Alexander I. Rudnicky,cmu
Bradley Schmerl,cmu
Franz Franchetti,cmu
Bruce H. Krogh,cmu
Christopher G. Atkeson,cmu
John Bethencourt,cmu
Maxine Eskenazi,cmu
Howie Choset,cmu
Randal E. Bryant,cmu
