Arizona State University,asu.edu
Auburn University,auburn.edu
Binghamton University,binghamton.edu
Boston College,bc.edu
Boston University,bu.edu
Brandeis University,brandeis.edu
Brown University,brown.edu
California Institute of Technology,caltech.edu
Carnegie Mellon University,cmu.edu
Case Western Reserve University,case.edu
Clemson University,clemson.edu
Colorado State University,colostate.edu
Columbia University in the City of New York,columbia.edu
Cornell University,cornell.edu
CUNY Graduate School and University Center,cuny.edu
Dartmouth College,dartmouth.edu
Drexel University,drexel.edu
Duke University,duke.edu
Emory University,emory.edu
Florida International University,fiu.edu
Florida State University,fsu.edu
George Mason University,gmu.edu
George Washington University,gwu.edu
Georgetown University,georgetown.edu
Georgia Institute of Technology,gatech.edu
Georgia State University,gsu.edu
Harvard University,harvard.edu
Indiana University Bloomington,indiana.edu
Iowa State University,iastate.edu
Johns Hopkins University,jhu.edu
Kansas State University,ksu.edu
Louisiana State University and Agricultural & Mechanical College,lsu.edu
Massachusetts Institute of Technology,mit.edu
Michigan State University,msu.edu
Mississippi State University,msstate.edu
Montana State University,montana.edu
New Jersey Institute of Technology,njit.edu
New York University,nyu.edu
North Carolina State University,ncsu.edu
Northeastern University,neu.edu
Northwestern University,northwestern.edu
Oklahoma State University,okstate.edu
Oregon State University,osu.edu
Pennsylvania State University,psu.edu
Princeton University,princeton.edu
Purdue University,purdue.edu
Rensselaer Polytechnic Institute,rpi.edu
Rice University,rice.edu
Rutgers University,rutgers.edu
Southern Illinois University,siu.edu
Stanford University,stanford.edu
Stony Brook University,stonybrook.edu
Syracuse University,syr.edu
Temple University,temple.edu
Texas A&M University,tamu.edu
Texas Tech University,ttu.edu
The Ohio State University,osu.edu
The University of Alabama,ua.edu
The University of Tennessee,utk.edu
The University of Texas at Austin,utexas.edu
The University of Texas at Arlington,uta.edu
The University of Texas at Dallas,utdallas.edu
The University of Texas at El Paso,utep.edu
Tufts University,tufts.edu
Tulane University of Louisiana,tulane.edu
University at Albany,albany.edu
University at Buffalo,buffalo.edu
University of Alabama at Birmingham,uab.edu
University of Arizona,arizona.edu
University of Arkansas,uark.edu
University of California Berkeley,berkeley.edu
University of California Davis,ucdavis.edu
University of California Irvine,uci.edu
University of California Los Angeles,ucla.edu
University of California Riverside,ucr.edu
University of California San Diego,ucsd.edu
University of California Santa Barbara,ucsb.edu
University of California Santa Cruz,ucsc.edu
University of Central Florida,ucf.edu
University of Chicago,uchicago.edu
University of Cincinnati,uc.edu
University of Colorado Boulder,colorado.edu
University of Colorado Denver Anschutz-Medical Campus,cuanschutz.edu
University of Connecticut,uconn.edu
University of Delaware,udel.edu
University of Florida,ufl.edu
University of Georgia,uga.edu
University of Hawaii at Manoa,hawaii.edu
University of Houston,uh.edu
University of Illinois at Chicago,uic.edu
University of Illinois at Urbana Champaign,uiuc.edu
University of Iowa,uiowa.edu
University of Kansas,ku.edu
University of Kentucky,uky.edu
University of Louisville,louisville.edu
University of Maryland, College Park,umd.edu
University of Massachusetts Amherst,umass.edu
University of Miami,miami.edu
University of Michigan,umich.edu
University of Minnesota,umn.edu
University of Mississippi,olemiss.edu
University of Missouri,missouri.edu
University of Nebraska Lincoln,unl.edu
University of Nevada, Las Vegas,unlv.edu
University of Nevada, Reno,unr.edu
University of New Hampshire,unh.edu
University of New Mexico,unm.edu
University of North Carolina at Chapel Hill,unc.edu
University of North Texas,unt.edu
University of Notre Dame,nd.edu
