"{'fos': [], 'rc': [], 'pqe': 'Composite(C.CId=1158167855)', 'id': 1158167855, 'dn': 'CVPR: Computer Vision and Pattern Recognition', 'sn': 'cvpr', 'norm': '', 'd': '', 'pc': 7843, 'pcby': [], 'ccnt': 1277767, 'eccnt': 0, 'ccby': [], 'w': [], 'r': -9.4172058869, 'et': 4}"
"{'fos': [], 'rc': [], 'pqe': 'Composite(C.CId=1127325140)', 'id': 1127325140, 'dn': 'NeurIPS: Neural Information Processing Systems', 'sn': 'neurips', 'norm': '', 'd': '', 'pc': 3643, 'pcby': [], 'ccnt': 619353, 'eccnt': 0, 'ccby': [], 'w': [], 'r': -10.3129648131, 'et': 4}"
"{'fos': [], 'rc': [], 'pqe': 'Composite(C.CId=1164975091)', 'id': 1164975091, 'dn': 'ICCV: International Conference on Computer Vision', 'sn': 'iccv', 'norm': '', 'd': '', 'pc': 3090, 'pcby': [], 'ccnt': 498792, 'eccnt': 0, 'ccby': [], 'w': [], 'r': -10.5280013772, 'et': 4}"
"{'fos': [], 'rc': [], 'pqe': 'Composite(C.CId=1180662882)', 'id': 1180662882, 'dn': 'ICML: International Conference on Machine Learning', 'sn': 'icml', 'norm': '', 'd': '', 'pc': 3133, 'pcby': [], 'ccnt': 428193, 'eccnt': 0, 'ccby': [], 'w': [], 'r': -10.5482711408, 'et': 4}"
"{'fos': [], 'rc': [], 'pqe': 'Composite(C.CId=2584161585)', 'id': 2584161585, 'dn': 'ICLR: International Conference on Learning Representations', 'sn': 'iclr', 'norm': '', 'd': '', 'pc': 1957, 'pcby': [], 'ccnt': 134130, 'eccnt': 0, 'ccby': [], 'w': [], 'r': -10.5638598327, 'et': 4}"
"{'fos': [], 'rc': [], 'pqe': 'Composite(C.CId=1152462849)', 'id': 1152462849, 'dn': 'SIGCOMM: ACM Special Interest Group on Data Communication', 'sn': 'sigcomm', 'norm': '', 'd': '', 'pc': 2007, 'pcby': [], 'ccnt': 360999, 'eccnt': 0, 'ccby': [], 'w': [], 'r': -10.5888085568, 'et': 4}"
"{'fos': [], 'rc': [], 'pqe': 'Composite(C.CId=1143723981)', 'id': 1143723981, 'dn': 'INFOCOM: International Conference on Computer Communications', 'sn': 'infocom', 'norm': '', 'd': '', 'pc': 3715, 'pcby': [], 'ccnt': 387564, 'eccnt': 0, 'ccby': [], 'w': [], 'r': -10.6573839021, 'et': 4}"
"{'fos': [], 'rc': [], 'pqe': 'Composite(C.CId=1163450153)', 'id': 1163450153, 'dn': 'CHI: Human Factors in Computing Systems', 'sn': 'chi', 'norm': '', 'd': '', 'pc': 5227, 'pcby': [], 'ccnt': 512544, 'eccnt': 0, 'ccby': [], 'w': [], 'r': -10.6803002864, 'et': 4}"
"{'fos': [], 'rc': [], 'pqe': 'Composite(C.CId=1130451194)', 'id': 1130451194, 'dn': 'ICC: International Conference on Communications', 'sn': 'icc', 'norm': '', 'd': '', 'pc': 6191, 'pcby': [], 'ccnt': 327962, 'eccnt': 0, 'ccby': [], 'w': [], 'r': -10.7313807823, 'et': 4}"
"{'fos': [], 'rc': [], 'pqe': 'Composite(C.CId=1121227772)', 'id': 1121227772, 'dn': 'ICASSP: International Conference on Acoustics, Speech, and Signal Processing', 'sn': 'icassp', 'norm': '', 'd': '', 'pc': 6235, 'pcby': [], 'ccnt': 557734, 'eccnt': 0, 'ccby': [], 'w': [], 'r': -10.7446640014, 'et': 4}"
"{'fos': [], 'rc': [], 'pqe': 'Composite(C.CId=1184914352)', 'id': 1184914352, 'dn': 'AAAI: National Conference on Artificial Intelligence', 'sn': 'aaai', 'norm': '', 'd': '', 'pc': 5682, 'pcby': [], 'ccnt': 339070, 'eccnt': 0, 'ccby': [], 'w': [], 'r': -10.7561970406, 'et': 4}"
"{'fos': [], 'rc': [], 'pqe': 'Composite(C.CId=1188739475)', 'id': 1188739475, 'dn': 'ACL: Meeting of the Association for Computational Linguistics', 'sn': 'acl', 'norm': '', 'd': '', 'pc': 4030, 'pcby': [], 'ccnt': 317343, 'eccnt': 0, 'ccby': [], 'w': [], 'r': -10.7705768844, 'et': 4}"
"{'fos': [], 'rc': [], 'pqe': 'Composite(C.CId=1124077590)', 'id': 1124077590, 'dn': 'ECCV: European Conference on Computer Vision', 'sn': 'eccv', 'norm': '', 'd': '', 'pc': 1988, 'pcby': [], 'ccnt': 338100, 'eccnt': 0, 'ccby': [], 'w': [], 'r': -10.8160848544, 'et': 4}"
"{'fos': [], 'rc': [], 'pqe': 'Composite(C.CId=1164321581)', 'id': 1164321581, 'dn': 'SIGGRAPH: International Conference on Computer Graphics and Interactive Techniques', 'sn': 'siggraph', 'norm': '', 'd': '', 'pc': 2825, 'pcby': [], 'ccnt': 590290, 'eccnt': 0, 'ccby': [], 'w': [], 'r': -10.8569671413, 'et': 4}"
"{'fos': [], 'rc': [], 'pqe': 'Composite(C.CId=1135342153)', 'id': 1135342153, 'dn': 'WWW: The Web Conference', 'sn': 'www', 'norm': '', 'd': '', 'pc': 2788, 'pcby': [], 'ccnt': 304399, 'eccnt': 0, 'ccby': [], 'w': [], 'r': -10.8636451003, 'et': 4}"
"{'fos': [], 'rc': [], 'pqe': 'Composite(C.CId=1133523790)', 'id': 1133523790, 'dn': 'VLDB: Very Large Data Bases', 'sn': 'vldb', 'norm': '', 'd': '', 'pc': 3021, 'pcby': [], 'ccnt': 366363, 'eccnt': 0, 'ccby': [], 'w': [], 'r': -10.9164003653, 'et': 4}"
"{'fos': [], 'rc': [], 'pqe': 'Composite(C.CId=1175089206)', 'id': 1175089206, 'dn': 'SIGMOD: International Conference on Management of Data', 'sn': 'sigmod', 'norm': '', 'd': '', 'pc': 2670, 'pcby': [], 'ccnt': 402365, 'eccnt': 0, 'ccby': [], 'w': [], 'r': -10.9298899297, 'et': 4}"
"{'fos': [], 'rc': [], 'pqe': 'Composite(C.CId=1131420910)', 'id': 1131420910, 'dn': 'GLOBECOM: Global Communications Conference', 'sn': 'globecom', 'norm': '', 'd': '', 'pc': 4889, 'pcby': [], 'ccnt': 266510, 'eccnt': 0, 'ccby': [], 'w': [], 'r': -11.020152767, 'et': 4}"
"{'fos': [], 'rc': [], 'pqe': 'Composite(C.CId=1130985203)', 'id': 1130985203, 'dn': 'KDD: Knowledge Discovery and Data Mining', 'sn': 'kdd', 'norm': '', 'd': '', 'pc': 2157, 'pcby': [], 'ccnt': 341122, 'eccnt': 0, 'ccby': [], 'w': [], 'r': -11.1090146738, 'et': 4}"
"{'fos': [], 'rc': [], 'pqe': 'Composite(C.CId=1192655580)', 'id': 1192655580, 'dn': 'EMNLP: Empirical Methods in Natural Language Processing', 'sn': 'emnlp', 'norm': '', 'd': '', 'pc': 2187, 'pcby': [], 'ccnt': 172081, 'eccnt': 0, 'ccby': [], 'w': [], 'r': -11.1140092706, 'et': 4}"
"{'fos': [], 'rc': [], 'pqe': 'Composite(C.CId=1163902177)', 'id': 1163902177, 'dn': 'ICRA: International Conference on Robotics and Automation', 'sn': 'icra', 'norm': '', 'd': '', 'pc': 3911, 'pcby': [], 'ccnt': 811320, 'eccnt': 0, 'ccby': [], 'w': [], 'r': -11.1155616354, 'et': 4}"
"{'fos': [], 'rc': [], 'pqe': 'Composite(C.CId=1170695740)', 'id': 1170695740, 'dn': 'SMC: Systems, Man and Cybernetics', 'sn': 'smc', 'norm': '', 'd': '', 'pc': 3006, 'pcby': [], 'ccnt': 631325, 'eccnt': 0, 'ccby': [], 'w': [], 'r': -11.2600276116, 'et': 4}"
"{'fos': [], 'rc': [], 'pqe': 'Composite(C.CId=1198471430)', 'id': 1198471430, 'dn': 'CCS: Computer and Communications Security', 'sn': 'ccs', 'norm': '', 'd': '', 'pc': 1726, 'pcby': [], 'ccnt': 172389, 'eccnt': 0, 'ccby': [], 'w': [], 'r': -11.2993313151, 'et': 4}"
"{'fos': [], 'rc': [], 'pqe': 'Composite(C.CId=1163618098)', 'id': 1163618098, 'dn': 'S&P: IEEE Symposium on Security and Privacy', 'sn': 's&p', 'norm': '', 'd': '', 'pc': 1536, 'pcby': [], 'ccnt': 176559, 'eccnt': 0, 'ccby': [], 'w': [], 'r': -11.3357995127, 'et': 4}"
"{'fos': [], 'rc': [], 'pqe': 'Composite(C.CId=1140684652)', 'id': 1140684652, 'dn': 'SIGIR: International ACM SIGIR Conference on Research and Development in Information Retrieval', 'sn': 'sigir', 'norm': '', 'd': '', 'pc': 2061, 'pcby': [], 'ccnt': 236756, 'eccnt': 0, 'ccby': [], 'w': [], 'r': -11.3889257855, 'et': 4}"
"{'fos': [], 'rc': [], 'pqe': 'Composite(C.CId=1177287137)', 'id': 1177287137, 'dn': 'INTERSPEECH: Conference of the International Speech Communication Association', 'sn': 'interspeech', 'norm': '', 'd': '', 'pc': 3151, 'pcby': [], 'ccnt': 213178, 'eccnt': 0, 'ccby': [], 'w': [], 'r': -11.4272425008, 'et': 4}"
"{'fos': [], 'rc': [], 'pqe': 'Composite(C.CId=1123349196)', 'id': 1123349196, 'dn': 'MOBICOM: ACM/IEEE International Conference on Mobile Computing and Networking', 'sn': 'mobicom', 'norm': '', 'd': '', 'pc': 725, 'pcby': [], 'ccnt': 161169, 'eccnt': 0, 'ccby': [], 'w': [], 'r': -11.4494270125, 'et': 4}"
"{'fos': [], 'rc': [], 'pqe': 'Composite(C.CId=1173951661)', 'id': 1173951661, 'dn': 'NAACL: North American Chapter of the Association for Computational Linguistics', 'sn': 'naacl', 'norm': '', 'd': '', 'pc': 1750, 'pcby': [], 'ccnt': 113793, 'eccnt': 0, 'ccby': [], 'w': [], 'r': -11.5292249735, 'et': 4}"
"{'fos': [], 'rc': [], 'pqe': 'Composite(C.CId=1135237122)', 'id': 1135237122, 'dn': 'MM: ACM Multimedia', 'sn': 'mm', 'norm': '', 'd': '', 'pc': 1969, 'pcby': [], 'ccnt': 152192, 'eccnt': 0, 'ccby': [], 'w': [], 'r': -11.6216553447, 'et': 4}"
"{'fos': [], 'rc': [], 'pqe': 'Composite(C.CId=1163988186)', 'id': 1163988186, 'dn': 'ICDE: International Conference on Data Engineering', 'sn': 'icde', 'norm': '', 'd': '', 'pc': 1830, 'pcby': [], 'ccnt': 177634, 'eccnt': 0, 'ccby': [], 'w': [], 'r': -11.6378795611, 'et': 4}"
"{'fos': [], 'rc': [], 'pqe': 'Composite(C.CId=1203999783)', 'id': 1203999783, 'dn': 'IJCAI: International Joint Conference on Artificial Intelligence', 'sn': 'ijcai', 'norm': '', 'd': '', 'pc': 2235, 'pcby': [], 'ccnt': 270680, 'eccnt': 0, 'ccby': [], 'w': [], 'r': -11.6778985082, 'et': 4}"
"{'fos': [], 'rc': [], 'pqe': 'Composite(C.CId=1171345118)', 'id': 1171345118, 'dn': 'UbiComp: Ubiquitous Computing', 'sn': 'ubicomp', 'norm': '', 'd': '', 'pc': 1703, 'pcby': [], 'ccnt': 128784, 'eccnt': 0, 'ccby': [], 'w': [], 'r': -11.7113187216, 'et': 4}"
"{'fos': [], 'rc': [], 'pqe': 'Composite(C.CId=1174403976)', 'id': 1174403976, 'dn': 'ICSE: International Conference on Software Engineering', 'sn': 'icse', 'norm': '', 'd': '', 'pc': 1728, 'pcby': [], 'ccnt': 221926, 'eccnt': 0, 'ccby': [], 'w': [], 'r': -11.7380828262, 'et': 4}"
"{'fos': [], 'rc': [], 'pqe': 'Composite(C.CId=1163163559)', 'id': 1163163559, 'dn': 'ICIP: International Conference on Image Processing', 'sn': 'icip', 'norm': '', 'd': '', 'pc': 2396, 'pcby': [], 'ccnt': 261628, 'eccnt': 0, 'ccby': [], 'w': [], 'r': -11.7502592793, 'et': 4}"
"{'fos': [], 'rc': [], 'pqe': 'Composite(C.CId=1163279258)', 'id': 1163279258, 'dn': 'WCNC: Wireless Communications and Networking Conference', 'sn': 'wcnc', 'norm': '', 'd': '', 'pc': 2115, 'pcby': [], 'ccnt': 112752, 'eccnt': 0, 'ccby': [], 'w': [], 'r': -11.7938623089, 'et': 4}"
"{'fos': [], 'rc': [], 'pqe': 'Composite(C.CId=1143279144)', 'id': 1143279144, 'dn': 'IROS: Intelligent Robots and Systems', 'sn': 'iros', 'norm': '', 'd': '', 'pc': 2202, 'pcby': [], 'ccnt': 295672, 'eccnt': 0, 'ccby': [], 'w': [], 'r': -11.8351092857, 'et': 4}"
"{'fos': [], 'rc': [], 'pqe': 'Composite(C.CId=1131341566)', 'id': 1131341566, 'dn': 'ISCA: International Symposium on Computer Architecture', 'sn': 'isca', 'norm': '', 'd': '', 'pc': 1001, 'pcby': [], 'ccnt': 162834, 'eccnt': 0, 'ccby': [], 'w': [], 'r': -11.8385228869, 'et': 4}"
"{'fos': [], 'rc': [], 'pqe': 'Composite(C.CId=2537594308)', 'id': 2537594308, 'dn': 'SECURITY: USENIX Security Symposium', 'sn': 'security', 'norm': '', 'd': '', 'pc': 829, 'pcby': [], 'ccnt': 87376, 'eccnt': 0, 'ccby': [], 'w': [], 'r': -11.8413400429, 'et': 4}"
"{'fos': [], 'rc': [], 'pqe': 'Composite(C.CId=1194094125)', 'id': 1194094125, 'dn': 'CIKM: Conference on Information and Knowledge Management', 'sn': 'cikm', 'norm': '', 'd': '', 'pc': 1773, 'pcby': [], 'ccnt': 131589, 'eccnt': 0, 'ccby': [], 'w': [], 'r': -11.8494864542, 'et': 4}"
"{'fos': [], 'rc': [], 'pqe': 'Composite(C.CId=1176978676)', 'id': 1176978676, 'dn': 'VTC: Vehicular Technology Conference', 'sn': 'vtc', 'norm': '', 'd': '', 'pc': 1985, 'pcby': [], 'ccnt': 254633, 'eccnt': 0, 'ccby': [], 'w': [], 'r': -11.8677802253, 'et': 4}"
"{'fos': [], 'rc': [], 'pqe': 'Composite(C.CId=1129324708)', 'id': 1129324708, 'dn': 'MICCAI: Medical Image Computing and Computer-Assisted Intervention', 'sn': 'miccai', 'norm': '', 'd': '', 'pc': 1574, 'pcby': [], 'ccnt': 110988, 'eccnt': 0, 'ccby': [], 'w': [], 'r': -11.9631259217, 'et': 4}"
"{'fos': [], 'rc': [], 'pqe': 'Composite(C.CId=1197656824)', 'id': 1197656824, 'dn': 'ISIT: International Symposium on Information Theory', 'sn': 'isit', 'norm': '', 'd': '', 'pc': 1438, 'pcby': [], 'ccnt': 193143, 'eccnt': 0, 'ccby': [], 'w': [], 'r': -11.9768059873, 'et': 4}"
"{'fos': [], 'rc': [], 'pqe': 'Composite(C.CId=1153382799)', 'id': 1153382799, 'dn': 'HiPC: IEEE International Conference on High Performance Computing, Data, and Analytics', 'sn': 'hipc', 'norm': '', 'd': '', 'pc': 1446, 'pcby': [], 'ccnt': 112972, 'eccnt': 0, 'ccby': [], 'w': [], 'r': -11.9803532904, 'et': 4}"
